ID,Age,Sex,Date,Partner_order,Adult,Partner_age,Partner_sex,How,Related,Relationship,AtCamp,Preferred,Unpreferred,Post_camp
722,14,M,14-Feb,1,No,13,M,School,No,Unrelated,NA,Yes,No,Yes
722,14,M,14-Feb,2,No,14,M,AroundTown,No,Unrelated,NA,Yes,No,Yes
722,14,M,14-Feb,3,No,13,M,ThroughFriend,No,Unrelated,NA,No,No,Yes
722,14,M,14-Feb,4,No,13,M,School,No,Unrelated,NA,No,No,Yes
576,8,F,15-Feb,1,No,12,F,Church,Yes,Extended,NA,Yes,No,Yes
576,8,F,15-Feb,2,No,7,M,Church,Yes,Extended,NA,No,No,Yes
576,8,F,15-Feb,3,No,4,M,Church,Yes,Extended,NA,No,No,Yes
576,8,F,15-Feb,4,No,9,F,Church,No,Unrelated,NA,Yes,No,Yes
738,17,F,16-Feb,1,No,5,F,Family,Yes,Immediate,NA,Yes,No,Yes
738,17,F,16-Feb,2,No,3,M,Family,Yes,Extended,NA,Yes,No,Yes
738,17,F,16-Feb,3,No,11,M,Family,Yes,Immediate,NA,Yes,No,Yes
551,11,M,16-Feb,1,No,17,F,Family,Yes,Immediate,NA,Yes,No,Yes
551,11,M,16-Feb,2,No,5,F,Family,Yes,Immediate,NA,Yes,No,Yes
551,11,M,16-Feb,3,No,1,F,Family,Yes,Extended,NA,Yes,No,Yes
732,12,M,16-Feb,1,No,7,M,Family,Yes,Immediate,NA,Yes,No,Yes
732,12,M,16-Feb,2,No,12,M,Neighbors,No,Unrelated,NA,No,No,Yes
733,7,M,16-Feb,1,No,12,M,Neighbors,No,Unrelated,NA,Yes,No,Yes
733,7,M,16-Feb,2,No,12,M,Family,Yes,Immediate,NA,Yes,No,Yes
966,13,M,19-Feb,1,No,14,M,Recreation,No,Unrelated,NA,Yes,No,Yes
966,13,M,19-Feb,2,No,Unknown,M,School,No,Unrelated,NA,Yes,No,Yes
652,8,M,20-Feb,1,No,8,F,Family,Yes,Extended,NA,Yes,No,Yes
652,8,M,20-Feb,2,No,12,M,Family,Yes,Extended,NA,Yes,No,Yes
652,8,M,20-Feb,3,No,12,F,Family,Yes,Extended,NA,Yes,No,Yes
652,8,M,20-Feb,4,No,10,M,Family,Yes,Extended,NA,Yes,No,Yes
652,8,M,20-Feb,5,No,13,F,Family,Yes,Extended,NA,Yes,No,Yes
610,13,M,20-Feb,1,No,12,M,School,No,Unrelated,NA,Yes,No,Yes
610,13,M,20-Feb,2,No,13,M,School,No,Unrelated,NA,No,No,Yes
901,7,F,20-Feb,1,No,13,M,Family,Yes,Immediate,NA,Yes,No,Yes
901,7,F,20-Feb,2,No,7,F,Neighbors,No,Unrelated,NA,Yes,No,Yes
