ID,Age,Sex,Date,HaveYou,WouldYou,OpenToNew,SchoolSimplified,Neighborhood,UserLanguage,CaregiverImmigrate,CaregiverImmigrateYear,CaregiverImmigrateMonth,MonthsSinceCaregiverImmigration,CaregiverDOB_1,CaregiverDOB_2,CaregiverDOB_3,CaregiverResidencyDuration,AverageAgeDifference,VarianceAgeDifference,StDevAgeDifference,AvgAbsAgeDifference,VarAbsAgeDifference,StDevAbsAgeDifference,Partners_count,Partners_no_adults,Count_adults,Prop_adults,Partners_male,Partners_female,Prop_male,Count_same_sex,Count_other_sex,Prop_same_sex,Count_immediate,Count_extended,Count_related,Count_unrelated,Prop_immediate,Prop_extended,Prop_related,Partners_male_noadult,Partners_female_noadult,Prop_malenoadult,Count_same_sex_noadult,Count_other_sex_noadult,Prop_same_sex_noadult,Count_immediate_noadult,Count_extended_noadult,Count_related_noadult,Count_unrelated_noadult,Prop_immediate_noadult,Prop_extended_noadult,Prop_related_noadult
426,15,F,22-Jan,Yes,Yes,1,Adventist,Cola de Mica/Lozano,EN,No,NA,NA,NA,1983,4,27,489,1,1,1,1,1,1,5,5,0,0,0,5,0,5,0,1,0,1,1,4,0,0.2,0.2,0,5,0,5,0,1,0,1,1,4,0,0.2,0.2
567,9,M,22-Jan,Yes,Yes,1,Public,Camponado/Campolancho,ES-ES,Yes,1999,NA,295,1980,11,24,295,1,6.5,2.549509757,2.2,1.7,1.303840481,5,5,0,0,2,3,0.4,2,3,0.4,0,4,4,1,0,0.8,0.8,2,3,0.4,2,3,0.4,0,4,4,1,0,0.8,0.8
427,7,M,22-Jan,Yes,Yes,1,Adventist,Cola de Mica/Lozano,EN,No,NA,NA,NA,1983,4,27,489,-1,7,2.645751311,2.333333333,0.3333333333,0.5773502692,3,3,0,0,2,1,0.666666667,2,1,0.666666667,1,1,2,1,0.333333333,0.333333333,0.666666667,2,1,0.666666667,2,1,0.666666667,1,1,2,1,0.333333333,0.333333333,0.666666667
871,11,M,23-Jan,Yes,Yes,1,Public,Sandy Bay,ES-ES,Yes,2020,12,37,1987,1,29,37,0.6666666667,0.3333333333,0.5773502692,0.6666666667,0.3333333333,0.5773502692,3,3,0,0,1,2,0.333333333,1,2,0.333333333,0,1,1,2,0,0.333333333,0.333333333,1,2,0.333333333,1,2,0.333333333,0,1,1,2,0,0.333333333,0.333333333
987,15,M,23-Jan,Yes,Yes,1,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.6964285714,0.8345229604,0.375,0.5535714286,0.7440238091,8,8,0,0,8,0,1,8,0,1,0,1,1,7,0,0.125,0.125,8,0,1,8,0,1,0,1,1,7,0,0.125,0.125
933,12,M,23-Jan,Yes,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8571428571,1.476190476,1.214985793,0.8571428571,1.476190476,1.214985793,7,7,0,0,7,0,1,7,0,1,0,2,2,5,0,0.285714286,0.285714286,7,0,1,7,0,1,0,2,2,5,0,0.285714286,0.285714286
423,7,M,25-Jan,Yes,Unsure,1,Public,Camponado/Campolancho,ES-ES,Yes,2015,1,108,1991,6,12,108,-0.5,13.66666667,3.696845502,2.5,5.666666667,2.380476143,7,5,2,0.2857142857,3,4,0.428571429,3,4,0.428571429,4,2,6,1,0.571428571,0.285714286,0.857142857,2,2,0.5,2,2,0.5,2,1,3,1,0.5,0.25,0.75
978,8,F,25-Jan,No,Unsure,0,Public,La Loma,ES-ES,Yes,2018,7,66,1995,3,5,66,1.5,0.5,0.7071067812,1.5,0.5,0.7071067812,4,4,0,0,0,4,0,4,0,1,1,1,2,2,0.25,0.25,0.5,0,4,0,4,0,1,1,1,2,2,0.25,0.25,0.5
935,5,F,25-Jan,Yes,No,1,Public,Camponado/Campolancho,ES-ES,Yes,2015,1,108,1991,6,12,108,-5,18,4.242640687,5,18,4.242640687,2,2,0,0,1,1,0.5,1,1,0.5,2,0,2,0,1,0,1,1,1,0.5,1,1,0.5,2,0,2,0,1,0,1
422,13,F,25-Jan,No,Yes,1,Public,Camponado/Campolancho,ES-ES,Yes,2015,1,108,1991,6,12,108,0,0.6666666667,0.8164965809,0.5,0.3333333333,0.5773502692,4,4,0,0,3,1,0.75,1,3,0.25,0,0,0,4,0,0,0,3,1,0.75,1,3,0.25,0,0,0,4,0,0,0
