ID,StatedAge,Age,WouldYou,OpenToNew,SchoolSimplified,Neighborhood,UserLanguage,CaregiverImmigrate,CaregiverImmigrateYear,CaregiverImmigrateMonth,MonthsSinceCaregiverImmigration,CaregiverDOB_1,CaregiverDOB_2,CaregiverDOB_3,CaregiverResidencyDuration,AverageAgeDifference,VarianceAgeDifference,StDevAgeDifference,AvgAbsAgeDifference,VarAbsAgeDifference,StDevAbsAgeDifference,Partners_count,Partners_no_adults,Count_adults,Prop_adults,Partners_male,Partners_female,Prop_male,Count_same_sex,Count_other_sex,Prop_same_sex,Count_immediate,Count_extended,Count_related,Count_unrelated,Prop_immediate,Prop_extended,Prop_related,Partners_male_noadult,Partners_female_noadult,Prop_malenoadult,Count_same_sex_noadult,Count_other_sex_noadult,Prop_same_sex_noadult,Count_immediate_noadult,Count_extended_noadult,Count_related_noadult,Count_unrelated_noadult,Prop_immediate_noadult,Prop_extended_noadult,Prop_related_noadult,Sex
693,9,9.75,Yes,1,Public,Sandy Bay,EN,No,NA,NA,NA,1991,6,28,391,-1.5,4.5,2.121320344,1.5,4.5,2.121320344,2,2,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0,M
695,9,9.5,Yes,1,Public,Camponado/Campolancho,ES-ES,No,NA,NA,NA,1998,11,21,302,0.5,0.3333333333,0.5773502692,0.5,0.3333333333,0.5773502692,4,4,0,0,0,4,0,4,0,1,0,0,0,4,0,0,0,0,4,0,4,0,1,0,0,0,4,0,0,0,F
696,11,11.83,Yes,1,Methodist,Cola de Mica/Lozano,EN,No,NA,NA,NA,1975,12,2,577,-1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,F
697,10,10.08,NA,NA,Public,Camponado/Campolancho,ES-ES,Yes,2012,NA,139,1997,4,18,139,-1.25,9.357142857,3.058944729,2.75,2.5,1.58113883,8,8,0,0,8,0,1,8,0,1,0,4,4,4,0,0.5,0.5,8,0,1,8,0,1,0,4,4,4,0,0.5,0.5,M
702,12,12.08,Yes,1,Public,Cola de Mica/Lozano,ES-ES,Yes,2008,11,182,1993,5,20,182,NA,NA,NA,NA,NA,1.169045194,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,F
709,7,6.67,Yes,1,Public,The Point,ES-ES,Yes,1990,NA,403,1974,8,2,403,-0.1666666667,0.9666666667,0.9831920803,0.8333333333,0.1666666667,0,6,6,0,0,6,0,1,6,0,1,0,0,0,6,0,0,0,6,0,1,6,0,1,0,0,0,6,0,0,0,M
719,10,10.75,No,0,Public,The Point,ES-ES,Yes,2005,5,224,1978,5,27,224,1.5,0.5,0.7071067812,1.5,0.5,0.5477225575,5,2,3,0.6,2,3,0.4,2,3,0.4,4,1,5,0,0.8,0.2,1,1,1,0.5,1,1,0.5,2,0,2,0,1,0,1,M
720,9,9.42,No,0,Public,The Point,ES-ES,Yes,2005,5,224,1978,5,27,224,0.5,0.3,0.5477225575,0.5,0.3,2.217355783,6,6,0,0,0,6,0,6,0,1,0,0,0,6,0,0,0,0,6,0,6,0,1,0,0,0,6,0,0,0,F
721,8,8.5,Yes,1,Public,The Point,ES-ES,Yes,2005,5,224,1978,5,27,224,1,0,0,1,0,0.7071067812,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,M
722,14,14.83,NA,NA,Methodist,Cola de Mica/Lozano,ES-ES,Yes,2021,3,34,1979,8,25,34,0.75,0.25,0.5,0.75,0.25,0.5,4,4,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0,M
727,11,11.75,Yes,1,Public,Cola de Mica/Lozano,ES-ES,Yes,2018,9,64,1981,2,27,64,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,F
732,12,12.17,NA,NA,Adventist,Camponado/Campolancho,ES-ES,Yes,1998,NA,307,1993,6,12,307,2.5,12.5,3.535533906,2.5,12.5,3.535533906,2,2,0,0,2,0,1,2,0,1,1,0,1,1,0.5,0,0.5,2,0,1,2,0,1,1,0,1,1,0.5,0,0.5,M
733,7,7.58,NA,NA,Adventist,Camponado/Campolancho,ES-ES,Yes,1998,NA,307,1993,6,12,307,-5,0,0,5,0,0,2,2,0,0,2,0,1,2,0,1,1,0,1,1,0.5,0,0.5,2,0,1,2,0,1,1,0,1,1,0.5,0,0.5,M
738,17,17,NA,NA,Public,Pumpkin Hill,ES-ES,Yes,2008,NA,187,1987,7,21,187,10.66666667,17.33333333,4.163331999,10.66666667,17.33333333,4.163331999,3,3,0,0,2,1,0.6666666667,1,2,0.3333333333,2,1,3,0,0.6666666667,0.3333333333,1,2,1,0.6666666667,1,2,0.3333333333,2,1,3,0,0.6666666667,0.3333333333,1,F
743,7,7.25,Yes,1,Public,Camponado/Campolancho,ES-ES,No,NA,NA,NA,2000,3,1,286,2,0,0,2,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,M
871,11,11,Yes,1,Public,Sandy Bay,ES-ES,Yes,2020,12,37,1987,1,29,37,0.6666666667,0.3333333333,0.5773502692,0.6666666667,0.3333333333,0.5773502692,3,3,0,0,1,2,0.333333333,1,2,0.333333333,0,1,1,2,0,0.333333333,0.333333333,1,2,0.333333333,1,2,0.333333333,0,1,1,2,0,0.333333333,0.333333333,M
892,11,11.67,Yes,1,Public,Airport/Jerusalem,ES-ES,Yes,2001,NA,271,1994,3,8,271,0,1,1,0.6666666667,0.3333333333,0.5773502692,3,3,0,0,0,3,0,3,0,1,0,0,0,3,0,0,0,0,3,0,3,0,1,0,0,0,3,0,0,0,F
